id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ZNF189	39	0.20091	0.83397	1.0	325	11	0.35572	0.30251	0.69883	1.0	406	15	0.35572
TEAD2	181	0.20161	0.94995	1.0	326	59	-0.14731	0.95807	0.99938	1.0	600	53	-0.14731
ZNF331	23	0.20376	0.74167	1.0	327	4	0.25702	0.41115	0.76358	1.0	454	9	0.25702
ZNF768	73	0.20422	0.92396	1.0	328	14	0.87729	0.00049863	0.0065883	0.101296	43	37	0.87729
BATF3	422	0.20471	0.95177	1.0	329	135	0.041142	0.025279	0.20812	0.703447	149	155	0.041142
BATF::JUN	422	0.20471	0.95177	1.0	330	135	0.041142	0.025279	0.20812	0.703447	148	155	0.041142
BNC2	422	0.20471	0.95177	1.0	331	135	0.041142	0.025279	0.20812	0.703447	147	155	0.041142
BATF	422	0.20471	0.95177	1.0	332	135	0.041142	0.025279	0.20812	0.703447	146	155	0.041142
HOXA7	816	0.206	0.9531	1.0	333	238	0.39777	0.026698	0.2137	0.706579	154	347	0.39777
MEIS1	3782	0.20791	0.95365	1.0	334	1155	0.19792	0.1335	0.49304	0.881816	292	1494	0.19792
HOXA9	31	0.20873	0.81122	1.0	335	7	0.69425	0.081363	0.33482	0.801212	227	17	0.69425
HEY2	55	0.21073	0.89685	1.0	336	17	0.22518	0.1537	0.52709	0.898349	330	19	0.22518
ARX	10	0.21171	0.61831	1.0	337	4	-0.18055	0.13021	0.33093	0.798123	289	3	-0.18055
ZNF341	122	0.21594	0.95624	1.0	338	38	0.31114	0.053842	0.3078	0.772636	199	55	0.31114
MEF2C	17	0.21642	0.71042	1.0	339	7	-0.21321	0.94504	0.98813	1.0	596	4	-0.21321
NFIA	783	0.21801	0.95667	1.0	340	238	0.22031	0.36716	0.81814	1.0	426	311	0.22031
NFIX	783	0.21801	0.95667	1.0	341	238	0.22031	0.36716	0.81814	1.0	427	311	0.22031
SMAD2	1450	0.21801	0.95667	1.0	342	412	0.29122	0.067394	0.33824	0.806261	220	600	0.29122
NR2E1	15	0.21855	0.69672	1.0	343	4	0.43634	0.67477	0.89543	1.0	533	4	0.43634
PAX4	22	0.21959	0.75395	1.0	344	7	-0.0055921	0.9401	0.9919	1.0	591	6	-0.0055921
SPIC	6	0.22108	0.5264	1.0	345	2	0.14404	0.046719	0.13965	0.617893	185	2	0.14404
ARID5A	71	0.22108	0.92926	1.0	346	21	0.35961	0.074834	0.33449	0.801212	225	33	0.35961
PRDM14	17	0.22403	0.72271	1.0	347	7	0.56279	0.52872	0.82314	1.0	491	7	0.56279
FOXH1	31	0.22482	0.82472	1.0	348	10	-0.035943	0.51239	0.85571	1.0	484	12	-0.035943
SOX5	46	0.22757	0.88145	1.0	349	15	0.064285	0.20664	0.58376	0.944777	357	19	0.064285
DMRT3	144	0.23311	0.96033	1.0	350	44	-0.055937	0.96365	0.99956	1.0	602	47	-0.055937
PTF1A	329	0.23357	0.96059	1.0	351	91	0.32166	0.02028	0.18907	0.703447	133	145	0.32166
ZNF692	370	0.23403	0.96177	1.0	352	116	0.29995	0.063636	0.32965	0.798123	215	150	0.29995
SRY	291	0.23644	0.96298	1.0	353	93	0.19645	0.45503	0.8799	1.0	466	114	0.19645
NKX2-5	206	0.23737	0.96322	1.0	354	47	0.6098	0.0029072	0.027598	0.23905	65	100	0.6098
PAX5	38	0.23913	0.86061	1.0	355	12	0.090237	0.43354	0.82209	1.0	460	13	0.090237
TBX5	205	0.24377	0.96553	1.0	356	52	0.58579	0.017673	0.17829	0.699436	129	98	0.58579
TBX15	205	0.24377	0.96553	1.0	357	52	0.58579	0.017673	0.17829	0.699436	127	98	0.58579
MGA	205	0.24377	0.96553	1.0	358	52	0.58579	0.017673	0.17829	0.699436	128	98	0.58579
TBX1	205	0.24377	0.96553	1.0	359	52	0.58579	0.017673	0.17829	0.699436	126	98	0.58579
TBX4	205	0.24377	0.96553	1.0	360	52	0.58579	0.017673	0.17829	0.699436	130	98	0.58579
CREB1	40	0.24661	0.87674	1.0	361	11	0.11343	0.1377	0.46293	0.881816	317	14	0.11343
TFDP1	151	0.24783	0.96663	1.0	362	48	0.49377	0.014195	0.087036	0.446062	117	72	0.49377
ETV1	59	0.24815	0.92575	1.0	363	20	-0.012338	0.47552	0.86967	1.0	475	20	-0.012338
ZNF175	59	0.24815	0.92575	1.0	364	20	-0.012338	0.47552	0.86967	1.0	476	20	-0.012338
PKNOX1	16	0.25072	0.7418	1.0	365	3	-0.23849	0.93852	0.98489	1.0	590	3	-0.23849
REL	23	0.25274	0.79372	1.0	366	7	0.21822	0.17071	0.48493	0.881816	339	6	0.21822
ATF3	427	0.25332	0.96778	1.0	367	135	0.076649	0.029786	0.23241	0.721868	157	159	0.076649
HOXD13	163	0.25493	0.96815	1.0	368	45	0.35101	0.17359	0.60797	0.966148	341	70	0.35101
HOXD3	20	0.25592	0.77558	1.0	369	4	1.2633	0.015277	0.078113	0.428033	121	12	1.2633
LHX1	8	0.25595	0.61433	1.0	370	3	0.51956	0.42981	0.68365	1.0	458	4	0.51956
CEBPD	67	0.26406	0.94259	1.0	371	19	0.30707	0.035147	0.20817	0.703447	168	27	0.30707
STAT2	17	0.27097	0.76649	1.0	372	5	0.22174	0.44418	0.76216	1.0	464	7	0.22174
FOXA1	32	0.27193	0.8538	1.0	373	9	0.044068	0.83458	0.98039	1.0	564	10	0.044068
HOXA6	127	0.27333	0.97344	1.0	374	39	0.37306	0.044404	0.27637	0.772636	183	51	0.37306
EN2	90	0.27551	0.96643	1.0	375	25	0.38428	0.53626	0.91914	1.0	492	35	0.38428
HMGA1	187	0.27654	0.97395	1.0	376	57	0.2937	0.47483	0.89062	1.0	474	75	0.2937
BARX1	354	0.28147	0.97472	1.0	377	105	0.39147	0.087779	0.38921	0.860577	243	146	0.39147
MSX1	354	0.28147	0.97472	1.0	378	105	0.39147	0.087779	0.38921	0.860577	242	146	0.39147
MSX2	354	0.28147	0.97472	1.0	379	105	0.39147	0.087779	0.38921	0.860577	244	146	0.39147
MSX3	354	0.28147	0.97472	1.0	380	105	0.39147	0.087779	0.38921	0.860577	240	146	0.39147
LHX2	354	0.28147	0.97472	1.0	381	105	0.39147	0.087779	0.38921	0.860577	239	146	0.39147
DLX1	354	0.28147	0.97472	1.0	382	105	0.39147	0.087779	0.38921	0.860577	238	146	0.39147
BSX	354	0.28147	0.97472	1.0	383	105	0.39147	0.087779	0.38921	0.860577	241	146	0.39147
EBF4	11	0.28933	0.7119	1.0	384	2	1.9175	0.0042135	0.026943	0.236716	73	8	1.9175
EBF1	11	0.28933	0.7119	1.0	385	2	1.9175	0.0042135	0.026943	0.236716	74	8	1.9175
JUNB	23	0.28961	0.82282	1.0	386	5	0.51073	0.20723	0.53901	0.898349	361	10	0.51073
FOS::JUNB	23	0.28961	0.82282	1.0	387	5	0.51073	0.20723	0.53901	0.898349	360	10	0.51073
FOSL1	23	0.28961	0.82282	1.0	388	5	0.51073	0.20723	0.53901	0.898349	363	10	0.51073
NFE2	23	0.28961	0.82282	1.0	389	5	0.51073	0.20723	0.53901	0.898349	362	10	0.51073
JUND	23	0.28961	0.82282	1.0	390	5	0.51073	0.20723	0.53901	0.898349	359	10	0.51073
